date,feedback,cleaned_feedback
2023-01-01,I love the new remote work policy!,love new remote work policy
2023-01-02,The workload has been too high lately.,workload high lately
2023-01-03,Team meetings are well-organized.,team meetings wellorganized
2023-01-04,Communication from management needs improvement.,communication management needs improvement
2023-01-05,Great job on the recent project!,great job recent project
2023-01-06,I feel overwhelmed with the current deadlines.,feel overwhelmed current deadlines
2023-01-07,The new office space is very comfortable.,new office space comfortable
2023-01-08,I wish we had more career development opportunities.,wish career development opportunities
2023-01-09,The recent training sessions were very useful.,recent training sessions useful
2023-01-10,I feel my contributions are not being recognized.,feel contributions recognized
2023-01-11,Work-life balance has improved since the new policies.,worklife balance improved since new policies
2023-01-12,There are too many meetings in a day.,many meetings day
2023-01-13,I appreciate the flexibility in work hours.,appreciate flexibility work hours
2023-01-14,The new project management tool is difficult to use.,new project management tool difficult use
2023-01-15,My manager provides helpful feedback.,manager provides helpful feedback
2023-01-16,The workload is unfairly distributed across teams.,workload unfairly distributed across teams
2023-01-17,Team collaboration has improved significantly.,team collaboration improved significantly
2023-01-18,I would like better transparency about promotions.,would like better transparency promotions
2023-01-19,The company benefits package is great!,company benefits package great
2023-01-20,Deadlines are often unrealistic.,deadlines often unrealistic
2023-01-21,The recent company event was well-organized.,recent company event wellorganized
2023-01-22,More mental health support would be appreciated.,mental health support would appreciated
2023-01-23,Leadership is taking employee concerns seriously.,leadership taking employee concerns seriously
2023-01-24,There is a lack of communication between departments.,lack communication departments
2023-01-25,Salary increments should be more frequent.,salary increments frequent
2023-01-26,I feel valued in my role.,feel valued role
2023-01-27,More team-building activities would be great.,teambuilding activities would great
2023-01-28,The new policy changes have been confusing.,new policy changes confusing
2023-01-29,HR is very responsive to employee issues.,hr responsive employee issues
2023-01-30,My manager is very supportive.,manager supportive
2023-02-01,There is favoritism in promotions.,favoritism promotions
2023-02-02,I enjoy the challenges in my role.,enjoy challenges role
2023-02-03,More transparency in decision-making is needed.,transparency decisionmaking needed
2023-02-04,The cafeteria food could be better.,cafeteria food could better
2023-02-05,Workload distribution among teams is unfair.,workload distribution among teams unfair
2023-02-06,I like the diversity in the workplace.,like diversity workplace
2023-02-07,The company should invest more in employee training.,company invest employee training
2023-02-08,Remote work has improved my productivity.,remote work improved productivity
2023-02-09,The dress code should be more relaxed.,dress code relaxed
2023-02-10,The new software update is causing issues.,new software update causing issues
2023-02-11,I feel disconnected from my team in remote work.,feel disconnected team remote work
2023-02-12,The recent layoffs have created uncertainty.,recent layoffs created uncertainty
2023-02-13,Employee appreciation programs are lacking.,employee appreciation programs lacking
2023-02-14,The leadership team is making good decisions.,leadership team making good decisions
2023-02-15,My workload is manageable and balanced.,workload manageable balanced
2023-02-16,The office environment is too noisy.,office environment noisy
2023-02-17,I enjoy working with my colleagues.,enjoy working colleagues
2023-02-18,The annual bonus program is great!,annual bonus program great
2023-02-19,Onboarding for new employees needs improvement.,onboarding new employees needs improvement
2023-02-20,The internet connection in the office is slow.,internet connection office slow
2023-02-21,My work is not being recognized enough.,work recognized enough
2023-02-22,Job security is a big concern right now.,job security big concern right
2023-02-23,More ergonomic chairs would be helpful.,ergonomic chairs would helpful
2023-02-24,My manager does not provide constructive feedback.,manager provide constructive feedback
2023-02-25,I feel motivated to do my best work.,feel motivated best work
2023-02-26,More flexible work hours would be appreciated.,flexible work hours would appreciated
2023-02-27,The company values innovation and creativity.,company values innovation creativity
2023-02-28,The annual review process is stressful.,annual review process stressful
2023-03-01,The new team structure is working well.,new team structure working well
2023-03-02,There is too much micromanagement.,much micromanagement
2023-03-03,The company's mission aligns with my personal values.,companys mission aligns personal values
2023-03-04,The work-from-home setup reimbursement was helpful.,workfromhome setup reimbursement helpful
2023-03-05,I would like more opportunities to learn new skills.,would like opportunities learn new skills
2023-03-06,The breakroom needs more healthy snack options.,breakroom needs healthy snack options
2023-03-07,I feel like my career growth is stagnant.,feel like career growth stagnant
2023-03-08,The new performance evaluation system is fair.,new performance evaluation system fair
2023-03-09,I appreciate the diversity initiatives in the company.,appreciate diversity initiatives company
2023-03-10,The parking situation at the office is terrible.,parking situation office terrible
2023-03-11,More frequent one-on-one meetings would help.,frequent oneonone meetings would help
2023-03-12,There should be more mentorship opportunities.,mentorship opportunities
2023-03-13,I am excited about the company's future plans.,excited companys future plans
2023-03-14,The IT support team is very slow to respond.,support team slow respond
2023-03-15,I wish we had more team lunches and outings.,wish team lunches outings
2023-03-16,The leadership team is approachable and supportive.,leadership team approachable supportive
2023-03-17,More investment in mental health support is needed.,investment mental health support needed
2023-03-18,The health insurance plan is excellent.,health insurance plan excellent
2023-03-19,Too many last-minute changes in project deadlines.,many lastminute changes project deadlines
2023-03-20,The current work expectations are unreasonable.,current work expectations unreasonable
2023-03-21,The new employee portal is easy to use.,new employee portal easy use
2023-03-22,More transparency about company financials is needed.,transparency company financials needed
2023-03-23,I feel safe expressing my opinions at work.,feel safe expressing opinions work
2023-03-24,There is too much pressure to work overtime.,much pressure work overtime
2023-03-25,The virtual onboarding process was confusing.,virtual onboarding process confusing
2023-03-26,I enjoy participating in company-wide initiatives.,enjoy participating companywide initiatives
2023-03-27,The open-door policy makes communication easier.,opendoor policy makes communication easier
2023-03-28,I wish there was a clearer career progression path.,wish clearer career progression path
2023-03-29,The new team collaboration tool is very useful.,new team collaboration tool useful
2023-03-30,Employee feedback is not taken seriously enough.,employee feedback taken seriously enough
2023-03-31,The flexible leave policy is very helpful.,flexible leave policy helpful
2023-04-01,I would like more diversity in leadership positions.,would like diversity leadership positions
2023-04-02,The new HR policies are not employee-friendly.,new hr policies employeefriendly
2023-04-03,I appreciate the company's commitment to sustainability.,appreciate companys commitment sustainability
2023-04-04,The cafeteria needs more vegetarian options.,cafeteria needs vegetarian options
2023-04-05,Work-from-home technology support is lacking.,workfromhome technology support lacking
2023-04-06,I feel like my workload is increasing every month.,feel like workload increasing every month
2023-04-07,Team morale is at an all-time high.,team morale alltime high
2023-04-08,The latest software tools are very efficient.,latest software tools efficient
2023-04-09,There is too much bureaucracy in the decision-making process.,much bureaucracy decisionmaking process
2023-04-10,The company culture encourages learning and growth.,company culture encourages learning growth
2023-04-11,The mentorship program has been very beneficial.,mentorship program beneficial
2023-04-12,Company town halls should be more interactive.,company town halls interactive
2023-04-13,The annual performance bonus should be higher.,annual performance bonus higher
2023-04-14,I love working with my team!,love working team
2023-04-15,Deadlines are often set without consulting employees.,deadlines often set without consulting employees
